Anatomical Structures,Organ,is_watertight (T/F),number_of_tissue_blocks_registered_total_Lu_collision,number_of_datasets_with_ct_counts_for this_anatomical_structure,dataset_ids,number_of_existing_dataset_ids,existing_dataset_ids
Allen_external_segment_of_globus_pallidus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_anterior_amygdaloid_area_R,Allen_M_Brain,Yes,0,0,,0,
VH_M_optic_chiasm,Allen_M_Brain,Yes,0,0,,0,
Allen_fornix_R,Allen_M_Brain,Yes,0,0,,0,
Allen_superior_temporal_gyrus_L,Allen_M_Brain,No,0,0,,0,
Allen_superior_colliculus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_cerebellar_deep_nuclei_R,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_occipitotemporal_fusiform_gyrus_occipital_part_R,Allen_M_Brain,Yes,0,0,,0,
Allen_occipital_pole_L,Allen_M_Brain,No,0,0,,0,
Allen_anterior_nuclear_complex_of_thalamus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_third_ventricle_L,Allen_M_Brain,Yes,0,0,,0,
Allen_mammillary_region_of_HTH_R,Allen_M_Brain,Yes,0,0,,0,
Allen_anterior_intermediate_orbital_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_frontal_operculum_L,Allen_M_Brain,Yes,0,0,,0,
Allen_middle_cerebellar_peduncle_L,Allen_M_Brain,Yes,0,0,,0,
Allen_subcallosal_gyrus_parolfactory_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_mediodorsal_nucleus_of_thalamus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_parafascicular_nucleus_of_thalamus_L,Allen_M_Brain,No,0,0,,0,
Allen_inferior_frontal_gyrus_opercular_part_L,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_hemisphere_of_cerebellum_L,Allen_M_Brain,No,0,0,,0,
Allen_internal_segment_of_globus_pallidus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_planum_temporale_L,Allen_M_Brain,Yes,0,0,,0,
Allen_basilar_part_of_pons_R,Allen_M_Brain,Yes,0,0,,0,
Allen_tail_of_hippocampus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_supraoptic_region_of_HTH_R,Allen_M_Brain,No,0,0,,0,
Allen_transverse_temporal_gyrus_Heschls_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_transverse_temporal_gyrus_Heschls_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_long_insular_gyri_R,Allen_M_Brain,Yes,0,0,,0,
Allen_anterior_horn_of_lateral_ventricle_L,Allen_M_Brain,Yes,0,0,,0,
Allen_body_of_hippocampus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_external_segment_of_globus_pallidus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_red_nucleus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_habenular_nuclei_R,Allen_M_Brain,Yes,0,0,,0,
Allen_paracingulate_gyrus_R,Allen_M_Brain,No,0,0,,0,
Allen_cerebellar_vermis_R,Allen_M_Brain,No,0,0,,0,
Allen_precuneus_L,Allen_M_Brain,No,0,0,,0,
Allen_inferior_occipital_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_superior_cerebellar_peduncle_brachium_conjunctivum_R,Allen_M_Brain,Yes,0,0,,0,
Allen_paravermis_of_cerebellum_L,Allen_M_Brain,No,0,0,,0,
Allen_planum_temporale_R,Allen_M_Brain,Yes,0,0,,0,
Allen_basolateral_nucleus_basal_nucleus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_olfactory_tract_R,Allen_M_Brain,Yes,0,0,,0,
Allen_cingulate_gyrus_caudal_posterior_part_R,Allen_M_Brain,No,0,0,,0,
Allen_posterior_parahippocampal_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_inferior_temporal_gyrus_R,Allen_M_Brain,No,0,0,,0,
Allen_inferior_frontal_gyrus_opercular_part_R,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_olfactory_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_anterior_olfactory_nucleus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_olfactory_bulb_L,Allen_M_Brain,Yes,0,0,,0,
Allen_pulvinar_of_thalamus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_preoptic_region_of_HTH_L,Allen_M_Brain,Yes,0,0,,0,
Allen_cerebellar_deep_nuclei_L,Allen_M_Brain,Yes,0,0,,0,
Allen_claustrum_L,Allen_M_Brain,No,0,0,,0,
Allen_paravermis_of_cerebellum_R,Allen_M_Brain,No,0,0,,0,
Allen_ventral_anterior_nucleus_of_thalamus_R,Allen_M_Brain,No,0,0,,0,
Allen_middle_frontal_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_olfactory_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_planum_polare_L,Allen_M_Brain,Yes,0,0,,0,
Allen_anterior_cortical_nucleus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_dorsal_nucleus_of_thalamus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_atrium_of_lateral_ventricle_R,Allen_M_Brain,Yes,0,0,,0,
Allen_rostral_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_inferior_frontal_gyrus_triangular_part_R,Allen_M_Brain,Yes,0,0,,0,
Allen_postcentral_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_short_insular_gyri_R,Allen_M_Brain,Yes,0,0,,0,
Allen_thalamus_R,Allen_M_Brain,No,0,0,,0,
VH_F_corneo_scleral_junction_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_ora_serrata_of_retina_L,VH_F_Eye_L,No,0,0,,0,
VH_F_optic_disc_L,VH_F_Eye_L,No,0,0,,0,
VH_F_sclera_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_ciliary_muscle_L,VH_F_Eye_L,No,0,0,,0,
VH_F_cornea_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_bulbar_conjunctiva_L,VH_F_Eye_L,No,0,0,,0,
VH_F_aqueous_humor_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_palpebral_conjunctiva_of_left_lower_eyelid,VH_F_Eye_L,No,0,0,,0,
VH_F_ciliary_processes_L,VH_F_Eye_L,No,0,0,,0,
VH_F_palpebral_conjunctiva_of_left_upper_eyelid,VH_F_Eye_L,Yes,0,0,,0,
VH_F_pupil_L,VH_F_Eye_L,No,0,0,,0,
VH_F_trabecular_meshwork_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_vitreous_humor_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_iris_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_lens_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_schlemms_canal_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_macula_lutea_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_ciliary_body_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_retina_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_optic_choroid_L,VH_F_Eye_L,Yes,0,0,,0,
VH_F_suspensory_ligament_of_lens_L,VH_F_Eye_L,No,0,0,,0,
VH_F_fovea_L,VH_F_Eye_L,Yes,0,0,,0,
VH_M_renal_impression_of_liver,VH_M_Liver,No,0,0,,0,
VH_M_left_posterolateral_segment,VH_M_Liver,No,0,0,,0,
VH_M_esophageal_impression_of_liver,VH_M_Liver,No,0,0,,0,
VH_M_falciform_ligament,VH_M_Liver,Yes,0,0,,0,
VH_M_right_anterosuperior_segment,VH_M_Liver,Yes,0,0,,0,
VH_M_caudate_lobe_of_liver,VH_M_Liver,Yes,0,0,,0,
VH_M_left_inferomedial_segment,VH_M_Liver,No,0,0,,0,
VH_M_coronary_ligament_of_liver,VH_M_Liver,Yes,0,0,,0,
VH_M_left_anterolateral_segment,VH_M_Liver,No,1,2,"HBM355.SRXZ.437,HBM762.TPPN.463",0,
VH_M_right_anteroinferior_segment,VH_M_Liver,No,0,0,,0,
VH_M_colic_impression_of_liver,VH_M_Liver,Yes,0,0,,0,
VH_M_quadrate_lobe_of_liver,VH_M_Liver,No,0,0,,0,
VH_M_ligamentum_venosum,VH_M_Liver,Yes,0,0,,0,
VH_M_hepataduodenal_ligament,VH_M_Liver,No,0,0,,0,
VH_M_left_superiomedial_segment,VH_M_Liver,No,0,0,,0,
VH_M_liver_capsule,VH_M_Liver,Yes,0,0,,0,
VH_M_bare_area_of_liver,VH_M_Liver,No,0,0,,0,
VH_M_diaphragmatic_surface,VH_M_Liver,No,1,2,"HBM355.SRXZ.437,HBM762.TPPN.463",0,
VH_M_round_ligament_of_liver,VH_M_Liver,Yes,0,0,,0,
VH_M_duodenal_impression_of_liver,VH_M_Liver,No,0,0,,0,
VH_M_right_posteroinferior_segment,VH_M_Liver,Yes,0,0,,0,
VH_M_right_posterosuperior_segment,VH_M_Liver,No,0,0,,0,
VH_M_suprarenal_impression_of_liver,VH_M_Liver,No,0,0,,0,
VH_M_triangular_ligament_of_liver,VH_M_Liver,Yes,0,0,,0,
VH_M_gastric_impression_of_liver,VH_M_Liver,No,0,0,,0,
VH_M_porta_hepatis,VH_M_Liver,Yes,0,0,,0,
VH_F_isthmus_of_fallopian_tube_R,VH_F_Fallopian_Tube_R,No,0,0,,0,
VH_F_ampulla_of_uterine_tube_R,VH_F_Fallopian_Tube_R,Yes,0,0,,0,
VH_F_fibria_of_uterine_tube_R,VH_F_Fallopian_Tube_R,No,0,0,,0,
VH_F_uterine_tube_infundibulum_R,VH_F_Fallopian_Tube_R,Yes,0,0,,0,
VH_F_major_calyx_L_c,VH_F_Ureter_L,No,0,0,,0,
VH_F_renal_papilla_L_d,VH_F_Ureter_L,Yes,0,0,,0,
VH_F_renal_papilla_L_g,VH_F_Ureter_L,Yes,0,0,,0,
VH_F_major_calyx_L_b,VH_F_Ureter_L,No,0,0,,0,
VH_F_renal_papilla_L_a,VH_F_Ureter_L,Yes,0,0,,0,
VH_F_minor_calyx_L_h,VH_F_Ureter_L,No,0,0,,0,
VH_F_renal_papilla_L_h,VH_F_Ureter_L,Yes,0,0,,0,
VH_F_minor_calyx_L_e,VH_F_Ureter_L,Yes,0,0,,0,
VH_F_minor_calyx_L_a,VH_F_Ureter_L,No,0,0,,0,
VH_F_renal_papilla_L_f,VH_F_Ureter_L,Yes,0,0,,0,
VH_F_renal_papilla_L_e,VH_F_Ureter_L,Yes,0,0,,0,
VH_F_minor_calyx_L_c,VH_F_Ureter_L,No,0,0,,0,
VH_F_major_calyx_L_d,VH_F_Ureter_L,No,0,0,,0,
VH_F_renal_papilla_L_k,VH_F_Ureter_L,Yes,0,0,,0,
VH_F_renal_papilla_L_i,VH_F_Ureter_L,Yes,0,0,,0,
VH_F_renal_papilla_L_c,VH_F_Ureter_L,Yes,0,0,,0,
VH_F_minor_calyx_L_j,VH_F_Ureter_L,No,0,0,,0,
VH_F_minor_calyx_L_d,VH_F_Ureter_L,No,0,0,,0,
VH_F_renal_papilla_L_j,VH_F_Ureter_L,Yes,0,0,,0,
VH_F_major_calyx_L_a,VH_F_Ureter_L,No,0,0,,0,
VH_F_minor_calyx_L_g,VH_F_Ureter_L,No,0,0,,0,
VH_F_minor_calyx_L_b,VH_F_Ureter_L,No,0,0,,0,
VH_F_minor_calyx_L_i,VH_F_Ureter_L,No,0,0,,0,
VH_F_renal_pelvis_L,VH_F_Ureter_L,No,0,0,,0,
VH_F_left_ureter,VH_F_Ureter_L,Yes,3,4,"HBM649.BJWK.883,HBM886.ZXXN.298,HBM388.BKKC.748,HBM982.TTRB.258",0,
VH_F_minor_calyx_L_f,VH_F_Ureter_L,No,0,0,,0,
VH_F_renal_papilla_L_b,VH_F_Ureter_L,Yes,0,0,,0,
VH_F_right_cardiac_atrium,VH_F_Heart,Yes,0,0,,0,
VH_F_papillary_muscle_of_heart_med,VH_F_Heart,Yes,0,0,,0,
VH_F_right_ventricle,VH_F_Heart,No,1,2,"HBM965.GWBH.574,HBM892.RFCC.476",0,
VH_F_left_ventricle,VH_F_Heart,Yes,5,11,"HBM284.BTVB.232,HBM448.BWHR.498,HBM645.XLLN.924,HBM892.RFCC.476,HBM278.GBJP.459,HBM625.PTSS.252,HBM957.MCFG.236,HBM965.GWBH.574,HBM865.KZMC.828,HBM669.BJNH.498,HBM623.SWRP.833",0,
VH_F_papillary_muscle_of_heart_ant,VH_F_Heart,Yes,0,0,,0,
VH_F_aortic_valve,VH_F_Heart,Yes,0,0,,0,
VH_F_papillary_muscle_of_heart_pos,VH_F_Heart,Yes,0,0,,0,
VH_F_left_cardiac_atrium,VH_F_Heart,No,0,0,,0,
VH_F_tricuspid_valve,VH_F_Heart,No,0,0,,0,
VH_F_papillary_muscle_of_heart_posmed,VH_F_Heart,Yes,0,0,,0,
VH_F_mitral_valve,VH_F_Heart,No,0,0,,0,
VH_F_pulmonary_valve,VH_F_Heart,No,0,0,,0,
VH_F_papillary_muscle_of_heart_antlat,VH_F_Heart,Yes,0,0,,0,
VH_F_interventricular_septum,VH_F_Heart,Yes,1,2,"HBM965.GWBH.574,HBM892.RFCC.476",0,
VH_F_lateral_perichondular_surface_R,VH_F_Knee_R,Yes,0,0,,0,
VH_F_posterior_cruciate_enthesis_R,VH_F_Knee_R,No,0,0,,0,
VH_F_medial_condyle_of_right_femur_sup,VH_F_Knee_R,Yes,0,0,,0,
VH_F_trochlear_groove_R,VH_F_Knee_R,No,0,0,,0,
VH_F_fibula_R,VH_F_Knee_R,Yes,0,0,,0,
VH_F_intercondylar_fossa_R,VH_F_Knee_R,Yes,0,0,,0,
VH_F_articular_cartilage_of_knee_R,VH_F_Knee_R,Yes,2,4,"HBM599.GLRZ.888,HBM949.GVHP.463,HBM499.GTSX.965,HBM743.FBJP.586",0,
VH_F_lateral_condyle_of_femur_sup_R,VH_F_Knee_R,Yes,0,0,,0,
VH_F_tibia_R,VH_F_Knee_R,Yes,0,0,,0,
VH_F_medial_condyle_of_right_femur_inf,VH_F_Knee_R,Yes,2,4,"HBM599.GLRZ.888,HBM949.GVHP.463,HBM499.GTSX.965,HBM743.FBJP.586",0,
VH_F_patella_R,VH_F_Knee_R,Yes,0,0,,0,
VH_F_medial_epicondylar_enthesis_R,VH_F_Knee_R,No,0,0,,0,
VH_F_meniscus_R,VH_F_Knee_R,Yes,2,4,"HBM599.GLRZ.888,HBM949.GVHP.463,HBM499.GTSX.965,HBM743.FBJP.586",0,
VH_F_medial_perichondular_surface_R,VH_F_Knee_R,Yes,0,0,,0,
VH_F_lateral_condyle_of_femur_frontal_R,VH_F_Knee_R,Yes,0,0,,0,
VH_F_distal_most_point_of_medial_condyle_R,VH_F_Knee_R,Yes,2,4,"HBM599.GLRZ.888,HBM949.GVHP.463,HBM499.GTSX.965,HBM743.FBJP.586",0,
VH_F_lateral_epicondylar_enthesis_R,VH_F_Knee_R,No,0,0,,0,
VH_F_lateral_condyle_of_femur_inf_R,VH_F_Knee_R,Yes,0,0,,0,
VH_F_anterior_cruciate_enthesis_R,VH_F_Knee_R,No,0,0,,0,
VH_F_femur_R,VH_F_Knee_R,Yes,2,4,"HBM599.GLRZ.888,HBM949.GVHP.463,HBM499.GTSX.965,HBM743.FBJP.586",0,
VH_M_macula_lutea_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_ciliary_muscle_R,VH_M_Eye_R,No,0,0,,0,
VH_M_palpebral_conjunctiva_of_lower_eyelid_R,VH_M_Eye_R,No,0,0,,0,
VH_M_pupil_R,VH_M_Eye_R,No,0,0,,0,
VH_M_palpebral_conjunctiva_of_upper_eyelid_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_optic_choroid_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_corneo_scleral_junction_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_iris_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_optic_disc_R,VH_M_Eye_R,No,0,0,,0,
VH_M_ciliary_body_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_ora_serrata_of_retina_R,VH_M_Eye_R,No,0,0,,0,
VH_M_fovea_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_retina_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_ciliary_processes_R,VH_M_Eye_R,No,0,0,,0,
VH_M_bulbar_conjunctiva_R,VH_M_Eye_R,No,0,0,,0,
VH_M_schlemms_canal_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_sclera_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_cornea_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_suspensory_ligament_of_lens_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_trabecular_meshwork_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_lens_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_vitreous_humor_R,VH_M_Eye_R,Yes,0,0,,0,
VH_M_aqueous_humor_R,VH_M_Eye_R,No,0,0,,0,
VH_F_left_superomedial_segment1,VH_F_Liver,No,0,0,,0,
VH_F_suprarenal_impression_of_liver,VH_F_Liver,No,0,0,,0,
VH_F_quadrate_lobe,VH_F_Liver,No,0,0,,0,
VH_F_renal_impression_of_liver,VH_F_Liver,No,0,0,,0,
VH_F_coronary_ligament_of_liver,VH_F_Liver,Yes,0,0,,0,
VH_F_ligamentum_venosum,VH_F_Liver,Yes,0,0,,0,
VH_F_bare_area_of_liver,VH_F_Liver,Yes,0,0,,0,
VH_F_round_ligament_of_liver,VH_F_Liver,Yes,0,0,,0,
VH_F_right_posterosuperior_segment,VH_F_Liver,Yes,0,0,,0,
VH_F_hepataduodenal_ligament,VH_F_Liver,Yes,0,0,,0,
VH_F_gastric_impression_of_liver,VH_F_Liver,No,0,0,,0,
VH_F_porta_hepatis,VH_F_Liver,Yes,0,0,,0,
VH_F_right_posteroinferior_segment,VH_F_Liver,Yes,0,0,,0,
VH_F_right_anterosuperior_segment,VH_F_Liver,No,0,0,,0,
VH_F_falciform_ligament,VH_F_Liver,Yes,0,0,,0,
VH_F_left_inferomedial_segment,VH_F_Liver,No,0,0,,0,
VH_F_triangular_ligament_of_liver,VH_F_Liver,No,0,0,,0,
VH_F_duodenal_impression_of_liver,VH_F_Liver,No,0,0,,0,
VH_F_esophageal_impression_of_liver,VH_F_Liver,Yes,0,0,,0,
VH_F_capsule_of_the_liver,VH_F_Liver,Yes,1,2,"HBM984.NZMN.653,HBM386.CMDS.872",0,
VH_F_caudate_lobe,VH_F_Liver,No,0,0,,0,
VH_F_right_anteroinferior_segment,VH_F_Liver,Yes,0,0,,0,
VH_F_colic_impression_of_liver,VH_F_Liver,No,0,0,,0,
VH_F_diaphragmatic_surface_of_liver,VH_F_Liver,Yes,1,2,"HBM984.NZMN.653,HBM386.CMDS.872",0,
VH_F_left_superomedial_segment,VH_F_Liver,Yes,0,0,,0,
VH_F_left_anterolateral_segment,VH_F_Liver,No,1,2,"HBM984.NZMN.653,HBM386.CMDS.872",0,
VH_F_jejenum,VH_F_Small_Intestine,No,3,10,"HBM975.DJNJ.667,HBM575.GQQG.346,HBM379.PCLL.836,HBM422.GKTR.735,HBM229.NKWB.488,HBM656.ZCCL.743,HBM649.SRZW.542,HBM555.LQJW.397,HBM666.QFPZ.232,HBM969.HPBJ.369",0,
VH_F_duodenum_descending,VH_F_Small_Intestine,No,8,16,"HBM384.XXGK.466,HBM323.JGNJ.947,HBM439.LWSZ.467,HBM855.LCDD.636,HBM229.NKWB.488,HBM977.QHXW.349,HBM479.LFNT.246,HBM649.SRZW.542,HBM555.LQJW.397,HBM722.FRFS.774,HBM967.JBBL.592,HBM634.HGLT.739,HBM387.CCPR.595,HBM875.LBGV.674,HBM969.HPBJ.369,HBM937.MZGP.398",0,
VH_F_ileum_terminal,VH_F_Small_Intestine,No,8,15,"HBM346.ZDRW.475,HBM229.NKWB.488,HBM649.SRZW.542,HBM723.SFNS.898,HBM853.QPTX.552,HBM672.XGNL.299,HBM928.PDBD.287,HBM555.LQJW.397,HBM429.QLFN.492,HBM522.DRFG.579,HBM838.JRBK.233,HBM638.SQBD.338,HBM969.HPBJ.369,HBM453.GWNF.247,HBM552.MSWZ.288",0,
VH_F_duodenum_horizontal,VH_F_Small_Intestine,No,8,16,"HBM458.FPRQ.298,HBM855.VBLX.337,HBM666.QBKB.629,HBM229.NKWB.488,HBM487.WJST.938,HBM459.PPCQ.388,HBM649.SRZW.542,HBM555.LQJW.397,HBM973.XXKM.696,HBM676.SNSW.596,HBM292.FTLJ.343,HBM389.NZZM.736,HBM379.MLVH.522,HBM983.LKMP.544,HBM969.HPBJ.369,HBM438.JGJH.887",0,
VH_F_duodenum_ascending,VH_F_Small_Intestine,No,8,16,"HBM458.FPRQ.298,HBM855.VBLX.337,HBM666.QBKB.629,HBM229.NKWB.488,HBM487.WJST.938,HBM459.PPCQ.388,HBM649.SRZW.542,HBM555.LQJW.397,HBM973.XXKM.696,HBM676.SNSW.596,HBM292.FTLJ.343,HBM389.NZZM.736,HBM379.MLVH.522,HBM983.LKMP.544,HBM969.HPBJ.369,HBM438.JGJH.887",0,
VH_F_duodenal_ampulla,VH_F_Small_Intestine,No,0,0,,0,
VH_F_ileum,VH_F_Small_Intestine,No,8,15,"HBM346.ZDRW.475,HBM229.NKWB.488,HBM649.SRZW.542,HBM723.SFNS.898,HBM853.QPTX.552,HBM672.XGNL.299,HBM928.PDBD.287,HBM555.LQJW.397,HBM429.QLFN.492,HBM522.DRFG.579,HBM838.JRBK.233,HBM638.SQBD.338,HBM969.HPBJ.369,HBM453.GWNF.247,HBM552.MSWZ.288",0,
VH_F_sphincter_of_heptopancreatic_ampulla,VH_F_Small_Intestine,No,0,0,,0,
VH_F_duodenum_superior,VH_F_Small_Intestine,Yes,8,16,"HBM384.XXGK.466,HBM323.JGNJ.947,HBM439.LWSZ.467,HBM855.LCDD.636,HBM229.NKWB.488,HBM977.QHXW.349,HBM479.LFNT.246,HBM649.SRZW.542,HBM555.LQJW.397,HBM722.FRFS.774,HBM967.JBBL.592,HBM634.HGLT.739,HBM387.CCPR.595,HBM875.LBGV.674,HBM969.HPBJ.369,HBM937.MZGP.398",0,
VH_F_renal_pyramid_R_a,VH_F_Kidney_R,Yes,0,0,,0,
VH_F_renal_column_R,VH_F_Kidney_R,No,0,0,,0,
VH_F_renal_pyramid_R_e,VH_F_Kidney_R,Yes,0,0,,0,
VH_F_renal_pyramid_R_c,VH_F_Kidney_R,Yes,0,0,,0,
VH_F_kidney_capsule_R,VH_F_Kidney_R,Yes,1,2,"HBM673.XMDK.355,HBM537.LTFK.379",0,
VH_F_renal_pyramid_R_g,VH_F_Kidney_R,Yes,0,0,,0,
VH_F_hilum_of_kidney_R,VH_F_Kidney_R,No,0,0,,0,
VH_F_renal_pyramid_R_h,VH_F_Kidney_R,Yes,0,0,,0,
VH_F_renal_pyramid_R_j,VH_F_Kidney_R,Yes,0,0,,0,
VH_F_renal_pyramid_R_i,VH_F_Kidney_R,Yes,1,2,"HBM926.GQBN.564,HBM839.TQNM.958",0,
VH_F_renal_pyramid_R_f,VH_F_Kidney_R,Yes,0,0,,0,
VH_F_outer_cortex_of_kidney_R,VH_F_Kidney_R,No,2,17,"HBM742.GTJJ.334,HBM469.WGXL.377,HBM347.RFGL.437,HBM955.PGHM.728,HBM537.LTFK.379,HBM258.XBKC.273,HBM886.SLWK.262,HBM275.DGCJ.895,HBM548.WNVT.322,HBM862.PKSC.458,HBM833.HFSG.364,HBM673.XMDK.355,HBM342.MWMW.936,HBM656.KZXP.658,HBM988.KJSW.827,HBM759.ZKDS.894,HBM363.NSBV.432",0,
VH_F_renal_pyramid_R_b,VH_F_Kidney_R,Yes,0,0,,0,
VH_F_renal_pyramid_R_d,VH_F_Kidney_R,Yes,0,0,,0,
VH_F_cervix,VH_F_Uterus,No,0,0,,0,
VH_F_cornua,VH_F_Uterus,Yes,0,0,,0,
VH_F_body_of_uterus,VH_F_Uterus,Yes,0,0,,0,
VH_F_anterior_wall_of_uterus,VH_F_Uterus,No,0,0,,0,
VH_F_lower_uterine_segment,VH_F_Uterus,Yes,0,0,,0,
VH_F_fundus_of_uterus,VH_F_Uterus,No,0,0,,0,
VH_F_external_cervical_os,VH_F_Uterus,Yes,0,0,,0,
VH_F_posterior_wall_of_uterus,VH_F_Uterus,No,0,0,,0,
VH_F_abdominal_ostium_of_uterine_tube,VH_F_Uterus,Yes,0,0,,0,
VH_F_internal_cervical_os,VH_F_Uterus,Yes,0,0,,0,
VH_M_urinary_bladder_neck_smooth_muscle,VH_M_Urinary_Bladder,No,0,0,,0,
VH_M_fundus_of_urinary_bladder_base1,VH_M_Urinary_Bladder,No,0,0,,0,
VH_M_ureteral_orifice_L,VH_M_Urinary_Bladder,Yes,0,0,,0,
VH_M_ureteral_orifice_R,VH_M_Urinary_Bladder,Yes,0,0,,0,
VH_M_fundus_of_urinary_bladder_dome,VH_M_Urinary_Bladder,No,0,0,,0,
VH_M_trigone_of_urinary_bladder,VH_M_Urinary_Bladder,No,0,0,,0,
VH_M_renal_pyramid_L_c,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_renal_pyramid_L_i,VH_M_Kidney_L,Yes,1,16,"HBM726.MWCR.726,HBM499.NBCK.667,HBM832.WWZH.575,HBM273.KMCF.655,HBM964.LPPQ.663,HBM876.NMKV.392,HBM828.GVQJ.749,HBM969.VBPS.239,HBM337.GJHZ.665,HBM684.XVPK.336,HBM246.PZPG.573,HBM543.DWSW.978,HBM499.GPFC.894,HBM363.WBDM.628,HBM466.ZFWM.822,HBM829.QGJB.974",0,
VH_M_renal_pyramid_L_d,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_kidney_capsule_L,VH_M_Kidney_L,No,0,0,,0,
VH_M_renal_papilla_L_c,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_renal_papilla_L_i,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_renal_column_L,VH_M_Kidney_L,No,1,2,"HBM432.BPZM.698,HBM983.KVKV.625",0,
VH_M_renal_pyramid_L_e,VH_M_Kidney_L,Yes,1,2,"HBM432.BPZM.698,HBM983.KVKV.625",0,
VH_M_renal_papilla_L_e,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_renal_pyramid_L_a,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_renal_papilla_L_b,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_renal_pyramid_L_g,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_renal_papilla_L_g,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_outer_cortex_of_kidney_L,VH_M_Kidney_L,No,4,18,"HBM476.XDGB.273,HBM432.BPZM.698,HBM847.VQKK.928,HBM892.MXFF.848,HBM384.BWTV.862,HBM442.HSFZ.838,HBM983.CHPH.338,HBM752.TSBJ.328,HBM798.XNSN.226,HBM584.ZTDX.845,HBM276.BCVG.232,HBM788.XWPV.347,HBM773.WCXC.264,HBM683.DSMM.562,HBM983.KVKV.625,HBM264.RWRW.668,HBM387.KXLD.867,HBM396.QSCB.763",0,
VH_M_renal_papilla_L_h,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_renal_papilla_L_a,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_renal_pyramid_L_h,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_renal_papilla_L_f,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_renal_papilla_L_d,VH_M_Kidney_L,Yes,0,0,,0,
VH_M_hilum_of_kidney_L,VH_M_Kidney_L,Yes,1,2,"HBM432.BPZM.698,HBM983.KVKV.625",0,
VH_M_renal_pyramid_L_f,VH_M_Kidney_L,Yes,0,0,,0,
